以下の作品リストについて、各タイトルの「読みの先頭1文字」をカタカナで返してください。

【ルール】
・括弧・鍵括弧（【】、()、[]、「」など）は無視し、その内側ではなく、除去した後の最初の有効な文字の読みを使う
・漢字 → その読みの先頭1文字をカタカナで（例：隣→ト、双→フ、異→イ）
・英字・アルファベット → 日本語読みの先頭1文字をカタカナで（例：L→エ、A→エ、R→ア）
・数字 → 日本語読みの先頭1文字をカタカナで（例：1→イ、2→ニ、3→サ）
・ひらがな・カタカナ始まり → その1文字をカタカナに（例：あ→ア、か→カ）
・不明・判断できない場合は「?」を返す

【出力形式】
workId（タブ）読みの1文字
1行1作品。元の順序を維持。ヘッダー不要。

例：
d_abc123	ト
d_def456	フ
d_ghi789	エ

---

## 作品リスト（workId<TAB>title）
※ 以下が 008 番目のリスト（500件）

d_286469	種付け自由学園3
d_286496	彼女がメガネを外した訳 〜片思いの巨乳委員長がヤリチン彼氏に染められるまで〜
d_286572	JK中退強がり社長が部下の父性に負け淫らに腰を振り寝取るまで
d_286651	悪の組織にバイトで入ったら女ヤリ放題なんだが？EX
d_286703	告白してたら付き合えたのに。 〜美香、依存済〜
d_286820	『地上100階』特別版セット【8】71〜75話＋番外編4本
d_286852	僕が死ぬまでの1秒間
d_287146	千鶴ちゃん開発日記総集編＋
d_287199	巨乳オタク女子とネカフェでオフパコアフター
d_287262	大人をだめにする看護師北野さん総集編vol.1
d_287293	異世界転生して、催●おじさんになった男がオークと間違えてボコボコにしてきた彼氏持ち冒険者の女の子に催●使って好き放題種付け中出しするお話
d_287444	小鳥遊姉妹の受難
d_287557	便女学園II
d_287665	怖い女上司が脱いだらHで可愛かった話-FANBOX0.5まとめ-
d_287843	黒ギャルメイド淫魔、ごしゅを喰う。2
d_287901	逆 迷娘、拾いました。
d_287923	「ゴムをつけてといいましたよね...」
d_287928	紫の夢3
d_288047	姉とビッチの人には言えない港区タワマンパーティーナイト
d_288126	隷辱ノ戦巫女
d_288203	妻が、他人の雌になるまで―ショートカット巨乳妻・佐々木美咲編―
d_288468	彼女のねだん8 勝気なデリヘル嬢がイかされまくって本番おねだりする話
d_288524	催●学園風俗ひゅぷらば
d_288820	私たちの生徒会長がスケベなはずありません！！
d_288987	私が先に好きだったのに整体。
d_289134	設定変更アプリ2
d_289171	近江の休日
d_289295	生真面目競泳女子、性に溺れる
d_289469	社畜OLは調教を断れないアフター〜快楽調教編〜
d_289470	子作りセックスが義務化した世界（…でモテない私。）
d_289489	限界集落で若い女は私だけ…
d_289505	彼女を寝取らせ風俗になんて連れてくんじゃなかった
d_289558	蝶子-総集編-
d_289647	早苗はご主人様のヌキヌキ係です！
d_289675	好きだったあの子が僕の目の前でNTRれる話
d_289918	杏山カズサの甘い秘密
d_289927	姫セフィアが壊れるまで
d_290034	政府公認セックスカウンセラーに寝取られた僕の妻
d_290414	絶対魔壊ブザマリア01.〜褐色競泳水着と王子気取りのメス豚編〜
d_290469	穴扱いでしかイケないアナ
d_290730	男の娘の騎雷くんは妄想癖がヤバイ
d_290759	竿役ギルくんが女英霊とエッチしまくる本
d_290768	柔らかな幼なじみを抱いた日
d_290838	子種を宿す部屋ーキモオタの僕がクラスのギャル達にハーレム種付することになった件ー
d_290911	飯犯トラベラーズ高知集団レ〇プ旅行
d_290996	叔父催● 鈍感な叔父さんは盛りのついた姪っ子専用肉ディルド
d_291284	縛られたのは心〜追い詰められてあなたに溺れて〜
d_291293	友達のお母さんに誘われて・・・
d_291506	巨乳の母娘にお世話になってます。母娘編
d_291544	僕にハーレムセフレができた理由3
d_291790	異類婚姻譚 総集編
d_291850	感覚遮断魔王様〜地獄イキへのカウントダウン〜
d_291960	地雷系女子は家凸してゲームしながらHもしたいっ
d_291971	三浦ちゃんのわーくしょっぷ
d_292061	家出ギャルな先輩は簡単にヤらせてくれる
d_292067	秋子さんといっしょ5
d_292068	秋子さんといっしょ6
d_292161	性欲の強いアラサー女は嫌いですか？〜野生の巨乳が誘惑してきた〜
d_292408	新米女神のお仕事は辛い―封印したエロ魔神に性癖を移されてマゾメス変態女神になりました―
d_292463	新しい風紀委員長が巨乳すぎる件
d_292474	思い出は汚される2 -心まで染められて-
d_292759	ELFIN QUEST ＃ギャンブル敗北編
d_292815	花嫁は天然長乳Hカップコスプレイヤー 〜コスプレイヤーふみか総集編II〜
d_292847	若菜式
d_292860	王女陥落
d_292942	母と息子の夏の一日
d_293180	弟の身代わりになった姉2
d_293265	女装子ハッテン系 ≪ 千樺野森林公園 篇 ≫
d_293274	先輩ちゃんと俺。まとめ
d_293881	万引き少年とパートの人妻
d_293899	一週間射精さなかったらHしてあげる
d_294000	女子校生が送られてくる制度
d_294111	陰部洗浄暴発4
d_294147	先輩 ミルクが止まりません
d_294164	幼なじみはオレ専用の肉便器3
d_294270	近くのお弁当屋さんにパート出た母（42）が・・・最近何か様子が変なんです。
d_294313	旅々日記には記せなかったコト。総集編1
d_294365	我、榛名と孕ませ夜戦に突入す！
d_294510	俺の妹が一緒にお風呂に入ろうと誘ってきた件
d_294922	訳あって義母が性欲処理機になりました。
d_294937	退魔士カグヤ極5
d_294955	吸いてぇ・・・
d_295103	美少女戦隊ヒロイン 大乱行オーディション
d_295256	欲求不満まじめ女子がクラスのヤリ〇ンギャルとドスケベHしちゃう話。
d_295289	催●堕ちなんて妄想です2
d_296085	鬼の娘達はヒトのオスと子づくりがしたい 総集編
d_296090	鬼の娘達はヒトのオスと子づくりがしたい 宴編
d_296546	何も知らない黒髪聖女が悪徳司教におマンコを汚される話
d_296644	彼女のねだん9 愛人契約と真夏の夜の初めての絶頂
d_296664	MAMA〜ママを守るために僕がした事〜
d_296707	憧れた先生が人外女性だった上に襲われドロドロレズ堕ち交尾した結果孕まされました…
d_296720	絡まれ妻の今日子さん Hなお店でアルバイト編
d_296730	黒髪JKと濃厚ラブラブ初セックス
d_297107	売奴家畜化調教2 聖神官レジーヌ
d_297159	実妹カノジョといちゃラブ生ハメ同棲性活
d_297721	純潔の才能
d_297811	「今日はダメっていいましたよね...」
d_298032	叔母喰い。
d_298058	横取り憑依〜憧れのクラスのアイドルが知らないヤツに乗っ取られていた〜
d_298183	寝取られた爆乳幼なじみ妻あかね ―昔っから親友（セフレ）とヤリまくりでしたw―
d_298346	美鶴さんといろいろする！パック
d_298451	Oh Bertille！ More！＆More；！！
d_298563	Oh Celia！ More！＆More；！！
d_298635	僕の母さんで、僕の好きな人。9
d_298679	Oh，Akane！ More！＆More；！！
d_298700	Mure Mure スィーリア
d_298714	Oh，Ayako！ More！＆More；！！
