tagKey	displayName	category
fanza_b57567d90c50926407564bebeffe67a9226aff39	OL	キャラクター
fanza_8be4e774f31a27c5df90eae8185d196a7dda9b4c	VTuber	キャラクター
fanza_eea93e98bd092f33d10c2ab0e4e1ff3d441b7c9b	おやじ	キャラクター
fanza_8ce8be84a562f1ea71b64c410fe9a1ac0d046f6d	お姫様	キャラクター
fanza_7f025924308d9e430875971fc36c65e8c5dc66a6	お嬢様・令嬢	キャラクター
fanza_597d05cab302ed1ebef65b46b301bd5c1fcba093	くノ一	キャラクター
fanza_add2ba0dd0e3d05e5b7a7ea9dc6e0ca7eaaba0b7	けもの・獣化	キャラクター
fanza_558f62a91667e1155776e25aa3754fc659c7a6f3	ぷに	キャラクター
fanza_66bf4c3bf835e89b8e9f9f0f0ec8819851ed6f59	アイドル・芸能人	キャラクター
fanza_717f255eedfb48d0f2ef5b503b9a1368ec54dd50	ウェイトレス	キャラクター
fanza_b1c04032f587106d13290737e07e108bd72f03d0	エルフ・妖精	キャラクター
fanza_11fea834a12966a9e89e39746eff64eca0b1b432	オスケモ	キャラクター
fanza_cde84bd854578a6ddc5e51b99dc90144610c693d	オネエ	キャラクター
fanza_b5bcc5274cdd0e120034d71983deabe1b8aa974e	ガテン系	キャラクター
fanza_dc4380d53d28c95b9af157ef0898847c2398e6cd	ギャル	キャラクター
fanza_a761ed05530785c7d56530f38beea28fbc69d712	ゲイ	キャラクター
fanza_1b3c9b94ca682da60cbc379c570e2c3ecf474cbf	サキュバス/淫魔	キャラクター
fanza_7de046e7da3e445270d794e56a02f6d512de5a10	サラリーマン	キャラクター
fanza_d1b4e4f83b7f3e174de7c806e864d4dc7a5604eb	シスター	キャラクター
fanza_c4692a762d87062b3441f8c6827491653b53848a	ショタ	キャラクター
fanza_8f6de1d49533a8b6cc9f190b29b0dc1633494a46	スパダリ	キャラクター
fanza_18049f69f35ac657b9c149ad1cd84b6f88cb1ea3	スポーツ選手	キャラクター
fanza_bd64b0c8f1f423703e089aefe8a0c8252c40b32d	ニューハーフ	キャラクター
fanza_660ffa483fa74e18bdbae5a9736072fddefe511b	ノンケ	キャラクター
fanza_f9a555758fb406fa80ea47801c39be058c3a5cdd	バイ	キャラクター
fanza_2e494f665ea08212d933108e23d9ddf73f33386f	バニーガール	キャラクター
fanza_bd491d9e219f9db7f2a8b8b5deef51928ffc9819	ホスト	キャラクター
fanza_14f1f19e41b42b250116e3ac1cde3843d26ba9a9	ママ	キャラクター
fanza_9c3aa8eee095a37378bc346fe4e87279e9b76906	メイド	キャラクター
fanza_e98b1cec53ecf8f74782f224627f50a009e8fe95	メスケモ	キャラクター
fanza_1e20dd673d7abddc38eacb88c37cd1d484e3bf5d	モデル	キャラクター
fanza_2eb460440bc2ee11a6bba98a24f9034beb7fe9f9	ヤクザ/裏社会	キャラクター
fanza_5380a371a2974572e2d39361566782b95c3cad10	ヤリチン・プレイボーイ	キャラクター
fanza_004a4427d206a74453b2cd3b56bffcdc85afc04e	レスラー/格闘家	キャラクター
fanza_f74a9e431b06ae69d7d521110f84b85205f87efd	レズビアン	キャラクター
fanza_10f3e14d0162ed0a3d92dbfa75c7b03a70130e7a	ロボット	キャラクター
fanza_eb7f4e3fd43eb6caa62458c81e4db2d9987cde5d	ワンコ	キャラクター
fanza_323450745cc2295bb91ff941f6d332672701310c	上司	キャラクター
fanza_ef0dfba26213bc4d05e124003d143037f86b22bf	不良・ヤンキー	キャラクター
fanza_0543e0c5c2aa320ace095c14b85b4f3817847588	主従	キャラクター
fanza_2a0d97ff5273de2a604ee616f384bf62d47c57a7	人外娘・モンスター娘	キャラクター
fanza_6f8da9261bf85d21329cad34a70a8d2179ea6d29	人妻・主婦	キャラクター
fanza_e9de98ae8bac27aaa78954daa426d024e43a1025	体育会系	キャラクター
fanza_546675260c47ede29b7e7ce47a9159121be4c83c	保健医	キャラクター
fanza_1b60f62fba6e4d69d604651388647658f1457aa3	兄	キャラクター
fanza_7c6b99c21f221507446caa46587e6401d85ef63b	先輩	キャラクター
fanza_cfb25a13c72a3fd256cd648bfb98e8c7111ece1d	医者	キャラクター
fanza_7b7a6f7d37709c97b1b99dc9219273263046a1b4	双子	キャラクター
fanza_ab0ec2bea3c21c52b9e33f0e1988e6c2149bf5bc	叔父・義父	キャラクター
fanza_dfd7a70ed9d3d28740ad52a78c0df51f76980475	同級生/同僚	キャラクター
fanza_4ff1189d721c067805e7af5c183b656730d043d9	図書委員	キャラクター
fanza_6d0c3a4a6956113ce4ab931fd69e022e7d88a5dd	変身ヒロイン	キャラクター
fanza_20fad2003400f4d1f082142ccb86dc43ba9248ba	外国人	キャラクター
fanza_e2f9883061b99b41279eca6b8caaf8043cb25df4	天使・悪魔	キャラクター
fanza_cf83392bba7919576529740280d435dd8d1bb154	女医	キャラクター
fanza_95a11a073e9e3ecea63b803048cefffd27b11f24	女教師	キャラクター
fanza_ecab5faaef37d721b27efd97e0ca1ec7bd6c44d1	女王様	キャラクター
fanza_363768f05e8ce3f8010fd33fd21ee94dc6252eb9	女装・男の娘	キャラクター
fanza_5859953d8732ce70f45ba23cd0d2354ac2835889	妊婦	キャラクター
fanza_879154b42ef2e4e3dadd519071d2663c95ccefc2	妖怪	キャラクター
fanza_2a70c43e87b3d0120c00225c0701ceee7da2f0f5	姉妹	キャラクター
fanza_ae3d0c5f5e76e22d88374cf10412a8fa99142070	委員長	キャラクター
fanza_a1efc48cb3c003603e08c1f4842f42ba5fbac3d2	娘	キャラクター
fanza_b76783d38c00a7d57e25b25d12b23c760e616a42	学生	キャラクター
fanza_fa4b9f846b8c5f86e20136fe98306e8b0fba19b9	実妹	キャラクター
fanza_eb485269d7d602eafbacd1d0f276ee92455f84f8	実姉	キャラクター
fanza_22d9b9afb945eed7e57b8e3aa4f427d20fb51adc	少女	キャラクター
fanza_5addc4e4387ae42d3320f5b8b4908ee217061ac4	少年	キャラクター
fanza_553005bb268b6b8ef3b3588e4a1bcfc6c01091d5	巫女	キャラクター
fanza_5c8d7a349fdf46a9e027c79f1dace46caf6d4f7f	年上	キャラクター
fanza_683dcb79dcd975570a820107ffae080c36941356	幼なじみ	キャラクター
fanza_5dd41a415b271923c0b66d298ea4129d4293bbd1	幽霊・ゾンビ	キャラクター
fanza_276330ed97025eb20fd53bc5dfce3ac9874e2d8e	弟	キャラクター
fanza_9de5bab4f2e702618db1ed92a96d24a2b0fca148	後輩	キャラクター
fanza_f56b9ae7bcef14770ce30a23767f534808881a39	従姉妹／いとこ	キャラクター
fanza_725661803390ccd38075453489d9df051ecadf11	悪役令嬢	キャラクター
fanza_f71aec055efc5c99caed8aec2ae74e6efae239bc	戦士	キャラクター
fanza_00034f2a3b009fb50985a948bbe12f640b43a2e4	教師	キャラクター
fanza_f007aa0726032783946db30b56be63eb1b0072fe	既婚者	キャラクター
fanza_20a0d6b107e311ef9694d75d3ee5ae12ec373e67	未亡人	キャラクター
fanza_15d71e581a0c635a4d2ce2e4089b808511f4448e	母親	キャラクター
fanza_a1708ab4d3cec8350debdd97dcd3454db56a7a32	熟女	キャラクター
fanza_b88bfb8adc541dbbf634764e714740af6dbfc2cb	爺	キャラクター
fanza_7524527c4dfaf345f3065b5efe076b0ba2dcc22f	獣人	キャラクター
fanza_acf6000047a5435adebd58258e842164041be2c5	王子様・王子系	キャラクター
fanza_742b5c4195bdecdd8fe0b507ad770cdba1587544	男娼	キャラクター
fanza_aa8c3b50d54b653e8e519ac8eab4571dacf039fb	白ギャル	キャラクター
fanza_6519a02013ee19086ca8517912052845440cb2d6	秘書	キャラクター
fanza_3d9fa52eea9025203ca24d5bd79929fa032088b8	義妹	キャラクター
fanza_3072f754860a2aa2e5fb942e964cc51fbbd5a2c2	義姉	キャラクター
fanza_1f65bfa6c12b97569def86001a857d7f7fc52425	義母	キャラクター
fanza_2ed10f6b9881efca50be9c34ed1e8fd09c28f5e8	裏垢女子	キャラクター
fanza_78066bb6ccd2d91bc1ea8b8b857a2e76fa5161eb	警察/刑事	キャラクター
fanza_52efa94f5a61914516aa05f57c6f128dd2a75e46	配信者／インフルエンサー	キャラクター
fanza_569c8bb8ef493302f8aaaabf36c5e9ed0a64220e	風紀委員	キャラクター
fanza_d704e00fe3528c33e6fe5b81a34278acfd81e12c	魔法使い/魔女	キャラクター
fanza_3fde562fbbcc410ae0e0fb2d36b0a57e41b8f481	魔法少女	キャラクター
fanza_d36e7a03fcec1214f0befaa0b0994c2e17af9f8b	黒ギャル	キャラクター
fanza_20d406c5f8a2955d87dfedc9d97c8eea89af379a	黒人（BBC）	キャラクター
fanza_e7e3631e7ef4f745da5b86127b25fc2543433720	おむつ	コスチューム/服装/アイテム
fanza_f8e520e3076d80a2e6b2957bc990a0262bb29f65	おもちゃ	コスチューム/服装/アイテム
fanza_e97aa2bff454bed0015d6bfc33be73148948e51d	しっぽ	コスチューム/服装/アイテム
fanza_68b438a8a0a1e151d201187da5e9588f309ba954	ふんどし	コスチューム/服装/アイテム
fanza_52540149501268138ef5dddf83efb5cdb743bb2b	めがね	コスチューム/服装/アイテム
fanza_e02942210816385e66e86357f009b4b1fcaa3e0b	カチューシャ	コスチューム/服装/アイテム
fanza_9f19969182217e468f9378eb80e2e719eec06389	ガーター	コスチューム/服装/アイテム
fanza_ea79ecd1c0e481cb675fad8727a937d05fe3d0b9	ガードル	コスチューム/服装/アイテム
fanza_435e2a09bbefc5e57fa744ae36796101ac74cebe	ゴスロリ	コスチューム/服装/アイテム
fanza_98249e2df1c37be301ab4e21976407be4af5576a	スタンガン	コスチューム/服装/アイテム
fanza_f1360f1c1058c217b9fc224a78396ecc4d9ee5a3	ストッキング	コスチューム/服装/アイテム
fanza_442b7e8e841d08a68adf58fdec956977621a006c	スパッツ	コスチューム/服装/アイテム
fanza_d9cdbe3b18c27c5c4b765ded2fb1b013ab90d4e9	スポユニ	コスチューム/服装/アイテム
fanza_d36caa93b02a815c1b32655b9bce01bd39d7eb89	スーツ	コスチューム/服装/アイテム
fanza_0eb07ae3effac9954273fd8e4f934bb4b21a75eb	セーラー服	コスチューム/服装/アイテム
fanza_bf20d27fdec82c4f3ed431b00f97897c9d79095b	タイツ	コスチューム/服装/アイテム
fanza_7c45b88da2ec3422d6a7b7484ba5ea33ac329af5	チャイナ	コスチューム/服装/アイテム
fanza_cd4ebc64887d484bfdd1ff168f04e1f4de1c94ac	ドラッグ	コスチューム/服装/アイテム
fanza_e3cd37ffc4669c488a7dac7f86b93c401b81fc41	ニット	コスチューム/服装/アイテム
fanza_9b85b3a4948639a6cbe6e78add9a7de057764604	ニーソックス	コスチューム/服装/アイテム
fanza_0c087e453d6449532cf7576dd5e37702d3c488f2	ネコミミ・ケモミミ	コスチューム/服装/アイテム
fanza_56aba03e124ba6ec8b8a101114e07427eac6027c	ネコミミ・獣系	コスチューム/服装/アイテム
fanza_f2286811ba5a7bdab4f1ae8e0bde6af6f7514a2d	バイブ	コスチューム/服装/アイテム
fanza_fe643b80ac5ce4975ce8895fee9344999faf6870	パンツ	コスチューム/服装/アイテム
fanza_5a66dc2b165fe430a8bec31f0c3a3481428b29af	ピアス・装飾品	コスチューム/服装/アイテム
fanza_f2427ac09dae95c5c7bd100f72f426fab0837fea	ブレザー	コスチューム/服装/アイテム
fanza_51895a5701667ef88aaee3c644ea4aa999447bd7	ボンテージ	コスチューム/服装/アイテム
fanza_1f46d17641e4dd6f58e96c52cd485e6de72bda7c	ミニスカ	コスチューム/服装/アイテム
fanza_497d100d79d8516c3e0bc42a0890a17473acda0e	ムチ・縄・蝋燭	コスチューム/服装/アイテム
fanza_514f9c538e961b482648aaa9cda9b1bc26be63e2	メカクレ	コスチューム/服装/アイテム
fanza_ef04b9c244816b2166de9f4e9b95e846dc324bcb	ラバー	コスチューム/服装/アイテム
fanza_e988ec9eeaf7c8c51a9e4cc7446277bae1b0d377	リボン	コスチューム/服装/アイテム
fanza_219e9d203b9576f2e0b69b1df8661b8d01c0b0dd	レオタード	コスチューム/服装/アイテム
fanza_e05ad805cdb4f2d78d4d1823a76ac6ec33d33670	ローション・オイル	コスチューム/服装/アイテム
fanza_80aec901cf343428da219d48543712afeb84132d	ローター	コスチューム/服装/アイテム
fanza_a9fe6cd349f5b08efafa852c10cf84876d386e51	ローレグ	コスチューム/服装/アイテム
fanza_6b7abebc15c622e2e7d38aaaf394b8a55426c8ba	ワイシャツ	コスチューム/服装/アイテム
fanza_a6730f134ba71879f0e08c66aed4c71c463622b1	下着	コスチューム/服装/アイテム
fanza_85c51a48a95eda417425bd8d749d48f772eaa0a9	体操着・ブルマ	コスチューム/服装/アイテム
fanza_86b19c9ac1d913c3fbb87670c3c3382371394ab8	制服	コスチューム/服装/アイテム
fanza_01e96e1fb1aa98e56ed93a18760c270544ff2a75	包帯・注射器	コスチューム/服装/アイテム
fanza_6a92c2f2d136f57d82e351a83898ca9565f440e0	半ズボン	コスチューム/服装/アイテム
fanza_8fb0732a2b4fb0c99b6b884fa27e9feb44b47d9f	和服・浴衣	コスチューム/服装/アイテム
fanza_b4e29a69def9b00c4d77e4493ecf56159912aaba	執事	コスチューム/服装/アイテム
fanza_62ac794272ddb410977d6ef30c6ce5a56df73ee3	水着	コスチューム/服装/アイテム
fanza_2f19d9e06ffb679f882946ccbe9e2e06a0acbdfc	猿轡／猿ぐつわ／ボールギャグ	コスチューム/服装/アイテム
fanza_b157de87dabaee8921a92b2f56527d3996f796f4	男装	コスチューム/服装/アイテム
fanza_3214c0440640fff7681be8603a6e4054852a42f6	白衣	コスチューム/服装/アイテム
fanza_c51a93ed86d7b665d7474dd38e0ebb6534b4dcaa	看護婦・ナース	コスチューム/服装/アイテム
fanza_7d5f85985e3b4b0ed9c7e1ded007a17f44477e72	競泳・スクール水着	コスチューム/服装/アイテム
fanza_b32758e000a00902b0503b40a11e7540b4048fb3	裸エプロン	コスチューム/服装/アイテム
fanza_f6adfd9190c59654e2742723f54fc9bc242df676	軍服	コスチューム/服装/アイテム
fanza_e4871f450ac3de1c2c3f0db05a1d48c797eba5b3	逆バニー	コスチューム/服装/アイテム
fanza_bf88b55eb76fd1d95d48648dfd0aaa719cb5b474	道着	コスチューム/服装/アイテム
fanza_a46bcf4231ba13d8f316e53585c40eaf00dfc467	靴下	コスチューム/服装/アイテム
fanza_dbdc45dfaa448b15f84f57d21d0f5c3128fbf19b	首輪・鎖・拘束具	コスチューム/服装/アイテム
fanza_2d153f00088025c1afd84ede0c8a113110f8693b	BL（ボーイズラブ）	シチュエーション/系統
